Model,Category,Metric Accuracy,Decision Accuracy,N
claude,compound_state_transition_verification,75.0,100.0,40
claude,localized_intensification_verification,77.5,100.0,40
claude,persistent_regional_anomaly_verification,100.0,100.0,40
claude,reliability_aware_claim_verification,100.0,100.0,40
claude,spatial_coherence_verification,97.5,100.0,40
claude,wet_anomaly_consistency_verification,100.0,100.0,40
claude_opus,compound_state_transition_verification,75.0,100.0,40
claude_opus,localized_intensification_verification,77.5,100.0,40
claude_opus,persistent_regional_anomaly_verification,100.0,100.0,40
claude_opus,reliability_aware_claim_verification,100.0,100.0,40
claude_opus,spatial_coherence_verification,100.0,100.0,40
claude_opus,wet_anomaly_consistency_verification,100.0,100.0,40
deepseek,compound_state_transition_verification,75.0,100.0,40
deepseek,localized_intensification_verification,77.5,100.0,40
deepseek,persistent_regional_anomaly_verification,100.0,100.0,40
deepseek,reliability_aware_claim_verification,0.0,94.87,39
deepseek,spatial_coherence_verification,70.0,97.5,40
deepseek,wet_anomaly_consistency_verification,100.0,100.0,40
gemini,compound_state_transition_verification,100.0,100.0,40
gemini,localized_intensification_verification,100.0,100.0,40
gemini,persistent_regional_anomaly_verification,100.0,100.0,40
gemini,reliability_aware_claim_verification,100.0,100.0,40
gemini,spatial_coherence_verification,100.0,100.0,40
gemini,wet_anomaly_consistency_verification,100.0,100.0,40
gpt,compound_state_transition_verification,0.0,35.0,40
gpt,localized_intensification_verification,0.0,32.5,40
gpt,persistent_regional_anomaly_verification,0.0,90.0,40
gpt,reliability_aware_claim_verification,0.0,32.5,40
gpt,spatial_coherence_verification,25.0,32.5,40
gpt,wet_anomaly_consistency_verification,0.0,35.0,40
