Model,Metric,Rows,MAE,RMSE,Pearson_r,Exact_Match
Claude,1,240,0.0041675,0.0645497230822875,0.9996981282462865,98.75
Claude,2,240,7.0833333333329e-06,2.6614532371117225e-05,0.9999999999451556,92.91666666666669
Claude,3,160,0.0,0.0,1.0,100.0
DeepSeek,1,239,0.1377912133891214,0.5292213767081347,0.9792395428283464,78.24267782426779
DeepSeek,2,239,0.06276820083682,0.3601487382182081,0.9899902542482438,89.5397489539749
DeepSeek,3,160,0.08125,0.4401704215414752,0.8725702888725367,95.0
GPT,1,240,0.9940983333333332,2.6393743364195235,0.1202885873115586,19.58333333333333
GPT,2,240,0.9158220833333334,2.5529680504186367,0.1360650577200328,19.58333333333333
GPT,3,160,0.466839375,0.8215525038380079,0.385383728488779,48.75
