Model,Category,Accuracy
ChatGPT_V1,persistent_regional_anomaly_verification,90.0
ChatGPT_V1,localized_intensification_verification,77.5
ChatGPT_V1,wet_anomaly_consistency_verification,100.0
ChatGPT_V1,compound_state_transition_verification,45.0
ChatGPT_V1,spatial_coherence_verification,37.5
ChatGPT_V1,reliability_aware_claim_verification,35.0
ChatGPT_V2,persistent_regional_anomaly_verification,100.0
ChatGPT_V2,localized_intensification_verification,100.0
ChatGPT_V2,wet_anomaly_consistency_verification,100.0
ChatGPT_V2,compound_state_transition_verification,40.0
ChatGPT_V2,spatial_coherence_verification,100.0
ChatGPT_V2,reliability_aware_claim_verification,100.0
Claude_V1,persistent_regional_anomaly_verification,100.0
Claude_V1,localized_intensification_verification,100.0
Claude_V1,wet_anomaly_consistency_verification,100.0
Claude_V1,compound_state_transition_verification,100.0
Claude_V1,spatial_coherence_verification,100.0
Claude_V1,reliability_aware_claim_verification,100.0
Claude_V2,persistent_regional_anomaly_verification,100.0
Claude_V2,localized_intensification_verification,100.0
Claude_V2,wet_anomaly_consistency_verification,100.0
Claude_V2,compound_state_transition_verification,77.5
Claude_V2,spatial_coherence_verification,100.0
Claude_V2,reliability_aware_claim_verification,100.0
DeepSeek_V1,persistent_regional_anomaly_verification,100.0
DeepSeek_V1,localized_intensification_verification,100.0
DeepSeek_V1,wet_anomaly_consistency_verification,100.0
DeepSeek_V1,compound_state_transition_verification,100.0
DeepSeek_V1,spatial_coherence_verification,100.0
DeepSeek_V1,reliability_aware_claim_verification,100.0
DeepSeek_V2,persistent_regional_anomaly_verification,100.0
DeepSeek_V2,localized_intensification_verification,97.5
DeepSeek_V2,wet_anomaly_consistency_verification,100.0
DeepSeek_V2,compound_state_transition_verification,100.0
DeepSeek_V2,spatial_coherence_verification,100.0
DeepSeek_V2,reliability_aware_claim_verification,95.0
Gemini_V1,persistent_regional_anomaly_verification,22.5
Gemini_V1,localized_intensification_verification,27.5
Gemini_V1,wet_anomaly_consistency_verification,45.0
Gemini_V1,compound_state_transition_verification,35.0
Gemini_V1,spatial_coherence_verification,37.5
Gemini_V1,reliability_aware_claim_verification,27.5
Gemini_V2,persistent_regional_anomaly_verification,100.0
Gemini_V2,localized_intensification_verification,27.5
Gemini_V2,wet_anomaly_consistency_verification,27.5
Gemini_V2,compound_state_transition_verification,37.5
Gemini_V2,spatial_coherence_verification,32.5
Gemini_V2,reliability_aware_claim_verification,47.5
